Date;Infected;DeadTotal;DeathByDay;Daily Death Change;Daily Death Change in %;InternationalDeath;Days
2020-01-01;1;0;0;0;0;0;0
2020-01-02;1;0;0;0;0;0;1
2020-01-03;14;0;0;0;0;0;2
2020-01-04;21;0;0;0;0;0;3
2020-01-05;27;0;0;0;0;0;4
2020-01-06;29;0;0;0;0;0;5
2020-01-07;34;0;0;0;0;0;6
2020-01-08;38;0;0;0;0;0;7
2020-01-09;40;1;1;1;100 %;0;8
2020-01-10;45;1;0;-1;-100 %;0;9
2020-01-11;45;1;0;0;0;0;10
2020-01-12;45;1;0;0;0;0;11
2020-01-13;46;1;0;0;0;0;12
2020-01-14;46;1;0;0;0;0;13
2020-01-15;47;1;0;0;0;0;14
2020-01-16;49;1;0;0;0;0;15
2020-01-17;66;2;1;1;100 %;0;16
2020-01-18;120;3;1;0;0 %;0;17
2020-01-19;167;4;1;0;0 %;0;18
2020-01-20;201;4;0;-1;-100 %;0;19
2020-01-21;420;6;2;2;200 %;0;20
2020-01-22;554;17;11;9;450 %;0;21
2020-01-23;644;25;8;-3;-27 %;0;22
2020-01-24;1354;41;16;8;100 %;0;23
2020-01-25;2019;55;14;-2;-13 %;0;24
2020-01-26;2258;65;10;-4;-28 %;0;25
2020-01-27;2700;80;15;5;50 %;0;26
2020-01-28;4500;106;26;11;73 %;0;27
2020-01-29;6000;132;26;0;0 %;0;28
2020-01-30;7700;170;38;12;46 %;0;29
2020-01-31;10000;213;43;5;13 %;0;30
2020-02-01;11347;268;55;12;27 %;0;31
2020-02-02;13268;304;36;-19;-34 %;1;32
2020-02-03;15371;360;56;20;55 %;1;33
2020-02-04;20696;427;67;11;19 %;2;34
2020-02-05;24558;493;66;-1;-1 %;2;35
2020-02-06;28018;563;70;4;6 %;2;36
2020-02-07;31532;638;75;5;7 %;2;37
2020-02-08;34915;724;86;6;8 %;2;38
2020-02-09;37591;814;90;4;5 %;2;39
2020-02-10;40655;910;96;6;7 %;2;40
2020-02-11;43143;1018;108;12;12 %;2;41
2020-02-12;45171;1115;97;-11;-10 %;2;42
2020-02-13;60326;1367;253;156;160 %;3;43
2020-02-14;65247;1491;124;-129;-50 %;3;44
2020-02-15;67185;1527;36;-112;-90 %;4;45
2020-02-16;69275;1669;142;106;294 %;5;46
2020-02-17;71356;1776;107;-35;-24 %;5;47
2020-02-18;73439;1875;99;-8;-7 %;5;48
2020-02-19;75306;2012;137;38;38 %;5;49
2020-02-20;76790;2247;235;98;71 %;6;50
2020-02-21;77187;2356;109;-126;-53 %;11;51
2020-02-22;78993;2460;104;-5;-4 %;18;52
2020-02-23;79724;2626;166;62;59 %;24;53
2020-02-24;80354;2707;81;-85;-51 %;33;54
2020-02-25;81234;2769;62;-19;-23 %;35;55
2020-02-26;82526;2812;43;-19;-30 %;41;56
2020-02-27;83896;2867;55;12;27 %;54;57
2020-02-28;85217;2924;57;2;3 %;69;58
2020-02-29;86993;2979;55;-2;-3 %;88;59
2020-03-01;89843;3069;90;35;63 %;118;60
2020-03-02;90933;3119;60;-30;-33 %;146;61
2020-03-03;93574;3204;85;20;33 %;193;62
2020-03-04;95600;3287;83;-2;-2 %;240;63
2020-03-05;100162;3406;119;36;43 %;309;64
2020-03-06;102242;3497;91;-28;-23 %;368;65
2020-03-07;106487;3600;103;12;12 %;442;66
2020-03-08;110381;3831;231;128;124 %;647;67
2020-03-09;114508;4027;196;-35;-14 %;824;68
2020-03-10;119286;4300;273;77;39 %;1064;69
2020-03-10;126414;4635;335;62;22 %;1367;70
2020-03-11;134828;4984;349;14;4 %;1683;71
2020-03-12;145512;5532;548;199;57 %;2069;72
2020-03-13;157163;5839;307;-241;-43 %;2348;73
2020-03-14;164577;6153;327;20;14 %;2662;74
2020-03-15;170540;6524;371;44;13 %;3035;75
2020-03-16;182864;7174;650;279;75 %;3655;76
2020-03-17;198942;7990;816;166;25 %;4441;77
2020-03-18;219385;8970;980;164;20 %;5410;78
2020-03-19;245967;10048;1078;98;10 %;6480;79
2020-03-20;276621;11419;1371;293;27 %;7848;80
2020-03-21;305564;13069;1650;279;20 %;9491;81
2020-03-22;339709;14704;1635;-15;-1 %;11117;82
2020-03-23;382126;16568;1861;226;13 %;12969;83
2020-03-24;423512;18910;2342;481;25 %;15304;84
2020-03-25;471820;21297;2387;45;2 %;17687;85
2020-03-26;536450;24112;2815;428;17 %;20496;86
2020-03-27;598032;27371;3259;444;16 %;23750;87
2020-03-28;664891;30893;3522;263;8 %;27269;88
2020-03-29;723279;33993;3100;-422;-12 %;30364;89
2020-03-30;786459;37831;3838;738;24 %;34198;90
2020-03-31;859716;42340;4509;671;17 %;38700;91
2020-04-01;936715;47260;4920;411;9 %;43620;92
2020-04-02;1016330;53238;5978;1058;22 %;49598;93
2020-04-03;1118045;59201;5963;-15;-1 %;55557;94
2020-04-04;1203188;64747;5546;-417;-7 %;61100;95
2020-04-05;1274578;69487;4740;-806;15 %;65838;96
2020-04-06;1347587;74782;5295;555;12 %;71133;97
2020-04-07;1432361;82114;7332;2037;38 %;78465;98
2020-04-08;1519002;88518;6404;-928;-13 %;84867;99
2020-04-09;1605277;95751;7233;829;13 %;92099;100
2020-04-10;1699815;102741;6990;-243;-3 %;99086;101
2020-04-11;1780912;108852;6111;-879;-13 %;105197;102
2020-04-12;1853619;114272;5420;-691;-11 %;110617;103
2020-04-13;1925571;119718;5446;26;1 %;116063;104
2020-04-14;2000728;126776;7058;1612;30 %;123119;105
2020-04-15;2084049;134669;7893;835;12 %;131011;106
2020-04-16;2183908;146872;12203;4310;54 %;141924;107
2020-04-17;2252373;154322;7450;-4753;-39 %;149374;108
2020-04-18;2332568;160791;6469;-981;-13 %;155843;109
2020-04-19;2407699;165093;4302;-2167;-33 %;160145;110
2020-04-20;2482550;170479;5386;1084;25 %;165531;111
2020-04-21;2557993;177688;7209;1823;34 %;172740;112
2020-04-22;2639025;184263;6575;-634;-8 %;179315;113
2020-04-23;2726189;191074;6811;236;4 %;186126;114
2020-04-24;2831915;197318;6244;-567;-8 %;192370;115
2020-04-25;2921571;203299;5981;-263;-4 %;198351;116
2020-04-26;2995244;207009;3710;-2271;-38 %;202060;117
2020-04-27;3065176;211631;4622;912;25 %;206681;118
2020-04-28;3138919;218010;6379;1757;38 %;213060;119
2020-04-29;3220970;228251;10241;3862;60 %;223301;120
2020-04-30;3308678;234123;5872;-4369;-43 %;229173;121
2020-05-01;3402018;239622;5499;-373;-6 %;234672;122
2020-05-02;3484567;244787;5165;-334;-6 %;239837;123
2020-05-03;3566993;248311;3524;-1641;-32 %;243361;124
2020-05-04;3646341;252425;4114;590;17 %;247475;125
2020-05-05;3728254;258360;5650;1536;37 %;253125;126
2020-05-06;3280869;264879;6519;869;15 %;259644;127
2020-05-07;3917999;270440;5561;-958;-15 %;265205;128
2020-05-08;4015253;275964;5524;-37;0 %;270729;129
2020-05-09;4101992;280224;4260;-1264;23 %;274989;130
2020-05-10;4181219;283737;3513;-747;-18 %;278502;131
2020-05-11;4256163;287336;3399;-114;0 %;281901;132
2020-05-12;4342847;292459;5123;1724;50 %;287024;133
2020-05-13;4430123;297765;5306;183;4 %;292330;134
2020-05-14;4527290;303098;5333;27;0 %;297663;135
2020-05-15;4628879;308063;4965;-368;-6 %;302628;136
2020-05-16;4722233;312982;4619;-46;0 %;307247;137
2020-05-17;4805229;316727;3745;-874;-19 %;310992;138
2020-05-18;4894278;320189;3462;-283;-8 %;314454;139
2020-05-19;4989197;324970;4781;1319;38 %;319235;140
2020-05-20;5090977;329761;4791;10;0 %;324026;141
2020-05-21;5197865;334680;4919;128;3 %;328945;142
2020-05-22;5306928;340072;5392;473;10 %;334337;143
2020-05-23;5407419;344025;3953;-1439;-27 %;338290;144
2020-05-24;5502104;346761;2736;-1217;-30 %;341026;145
2020-05-25;5590517;347916;1155;-1581;-57 %;342181;146
2020-05-26;5688840;352287;4371;3216;278 %;346552;147
2020-05-27;5792989;357480;5193;822;19 %;351745;148
2020-05-28;5909677;362102;4612;-561;-11 %;356357;149
2020-05-29;6035349;366927;4825;213;5 %;361182;150
2020-05-30;6161016;371016;4089;-736;-15 %;365271;151
